Airport,Year,Month,Coach Passengers 
Kennedy International Airport,2002,1,30338
Kennedy International Airport,2002,2,26409
Kennedy International Airport,2002,3,36206
Kennedy International Airport,2002,4,29482
Kennedy International Airport,2002,5,42262
Kennedy International Airport,2002,6,44453
Kennedy International Airport,2002,7,44043
Kennedy International Airport,2002,8,48439
Kennedy International Airport,2002,9,47167
Kennedy International Airport,2002,10,46684
Kennedy International Airport,2002,11,39478
Kennedy International Airport,2002,12,47730
Kennedy International Airport,2003,1,37300
Kennedy International Airport,2003,2,31342
Kennedy International Airport,2003,3,40636
Kennedy International Airport,2003,4,35413
Kennedy International Airport,2003,5,43439
Kennedy International Airport,2003,6,49370
Kennedy International Airport,2003,7,49193
Kennedy International Airport,2003,8,54200
Kennedy International Airport,2003,9,50831
Kennedy International Airport,2003,10,48268
Kennedy International Airport,2003,11,44457
Kennedy International Airport,2003,12,47916
Kennedy International Airport,2004,1,33313
Kennedy International Airport,2004,2,30712
Kennedy International Airport,2004,3,42276
Kennedy International Airport,2004,4,41053
Kennedy International Airport,2004,5,52078
Kennedy International Airport,2004,6,56569
Kennedy International Airport,2004,7,51594
Kennedy International Airport,2004,8,56859
Kennedy International Airport,2004,9,57362
Kennedy International Airport,2004,10,54022
Kennedy International Airport,2004,11,47054
Kennedy International Airport,2004,12,48156
Kennedy International Airport,2005,1,39172
Kennedy International Airport,2005,2,34236
Kennedy International Airport,2005,3,49858
Kennedy International Airport,2005,4,46509
Kennedy International Airport,2005,5,54378
Kennedy International Airport,2005,6,55338
Kennedy International Airport,2005,7,48976
Kennedy International Airport,2005,8,51030
Kennedy International Airport,2005,9,51554
Kennedy International Airport,2005,10,44583
Kennedy International Airport,2005,11,43015
Kennedy International Airport,2005,12,45795
Kennedy International Airport,2006,1,36449
Kennedy International Airport,2006,2,29388
Kennedy International Airport,2006,3,42018
Kennedy International Airport,2006,4,40356
Kennedy International Airport,2006,5,48992
Kennedy International Airport,2006,6,51634
Kennedy International Airport,2006,7,45666
Kennedy International Airport,2006,8,47422
Kennedy International Airport,2006,9,46993
Kennedy International Airport,2006,10,44024
Kennedy International Airport,2006,11,39388
Kennedy International Airport,2006,12,41894
Kennedy International Airport,2007,1,34906
Kennedy International Airport,2007,2,28995
Kennedy International Airport,2007,3,40599
Kennedy International Airport,2007,4,39778
Kennedy International Airport,2007,5,48604
Kennedy International Airport,2007,6,49331
Kennedy International Airport,2007,7,41729
Kennedy International Airport,2007,8,46340
Kennedy International Airport,2007,9,47570
Kennedy International Airport,2007,10,43971
Kennedy International Airport,2007,11,38393
Kennedy International Airport,2007,12,39870
Kennedy International Airport,2008,1,33305
Kennedy International Airport,2008,2,28728
Kennedy International Airport,2008,3,39144
Kennedy International Airport,2008,4,36650
Kennedy International Airport,2008,5,48255
Kennedy International Airport,2008,6,47460
Kennedy International Airport,2008,7,43769
Kennedy International Airport,2008,8,48382
Kennedy International Airport,2008,9,45691
Kennedy International Airport,2008,10,41033
Kennedy International Airport,2008,11,35837
Kennedy International Airport,2008,12,40205
Kennedy International Airport,2009,1,29741
Kennedy International Airport,2009,2,26309
Kennedy International Airport,2009,3,37024
Kennedy International Airport,2009,4,38988
Kennedy International Airport,2009,5,44244
Kennedy International Airport,2009,6,47190
Kennedy International Airport,2009,7,49198
Kennedy International Airport,2009,8,49726
Kennedy International Airport,2009,9,49976
Kennedy International Airport,2009,10,41110
Kennedy International Airport,2009,11,38519
Kennedy International Airport,2009,12,43602
Kennedy International Airport,2010,1,34149
Kennedy International Airport,2010,2,30471
Kennedy International Airport,2010,3,44122
Kennedy International Airport,2010,4,38451
Kennedy International Airport,2010,5,39454
Kennedy International Airport,2010,6,42441
Kennedy International Airport,2010,7,38500
Kennedy International Airport,2010,8,52613
Kennedy International Airport,2010,9,45675
Kennedy International Airport,2010,10,45695
Kennedy International Airport,2010,11,39260
Kennedy International Airport,2010,12,41766
Kennedy International Airport,2011,1,10924
Kennedy International Airport,2011,2,14463
Kennedy International Airport,2011,3,20590
Kennedy International Airport,2011,4,21300
Kennedy International Airport,2011,5,24681
Kennedy International Airport,2011,6,26243
Kennedy International Airport,2011,7,23845
Kennedy International Airport,2011,8,25693
Kennedy International Airport,2011,9,25129
Kennedy International Airport,2011,10,28917
Kennedy International Airport,2011,11,25039
Kennedy International Airport,2011,12,25450
Kennedy International Airport,2012,1,22875
Kennedy International Airport,2012,2,20558
Kennedy International Airport,2012,3,31992
Kennedy International Airport,2012,4,31555
Kennedy International Airport,2012,5,35447
Kennedy International Airport,2012,6,37401
Kennedy International Airport,2012,7,36276
Kennedy International Airport,2012,8,36738
Kennedy International Airport,2012,9,31268
Kennedy International Airport,2012,10,28451
Kennedy International Airport,2012,11,29964
Kennedy International Airport,2012,12,26647
Kennedy International Airport,2013,1,26251
Kennedy International Airport,2013,2,19119
Kennedy International Airport,2013,3,32082
Kennedy International Airport,2013,4,29455
Kennedy International Airport,2013,5,36781
Kennedy International Airport,2013,6,38463
Kennedy International Airport,2013,7,34928
Kennedy International Airport,2013,8,39497
Kennedy International Airport,2013,9,36944
Kennedy International Airport,2013,10,37195
Kennedy International Airport,2013,11,25240
Kennedy International Airport,2013,12,30702
Kennedy International Airport,2014,1,25596
Kennedy International Airport,2014,2,36455
Kennedy International Airport,2014,3,33925
Kennedy International Airport,2014,4,36581
Kennedy International Airport,2014,5,38519
Kennedy International Airport,2014,6,38304
Kennedy International Airport,2014,7,39965
Kennedy International Airport,2014,8,41635
Kennedy International Airport,2014,9,34501
Kennedy International Airport,2014,10,35492
Kennedy International Airport,2014,11,27051
Kennedy International Airport,2014,12,32262
Kennedy International Airport,2015,1,30231
Kennedy International Airport,2015,2,23339
Kennedy International Airport,2015,3,34754
Kennedy International Airport,2015,4,34933
Kennedy International Airport,2015,5,39890
Kennedy International Airport,2015,6,41749
Kennedy International Airport,2015,7,41000
Kennedy International Airport,2015,8,43224
Kennedy International Airport,2015,9,36316
Kennedy International Airport,2015,10,34076
Kennedy International Airport,2015,11,29173
Kennedy International Airport,2015,12,32096
Newark Liberty International Airport,2002,1,18977
Newark Liberty International Airport,2002,2,18629
Newark Liberty International Airport,2002,3,26887
Newark Liberty International Airport,2002,4,24780
Newark Liberty International Airport,2002,5,28677
Newark Liberty International Airport,2002,6,24984
Newark Liberty International Airport,2002,7,26622
Newark Liberty International Airport,2002,8,30036
Newark Liberty International Airport,2002,9,26138
Newark Liberty International Airport,2002,10,26588
Newark Liberty International Airport,2002,11,25232
Newark Liberty International Airport,2002,12,31488
Newark Liberty International Airport,2003,1,20019
Newark Liberty International Airport,2003,2,18623
Newark Liberty International Airport,2003,3,22332
Newark Liberty International Airport,2003,4,23369
Newark Liberty International Airport,2003,5,27544
Newark Liberty International Airport,2003,6,25889
Newark Liberty International Airport,2003,7,28042
Newark Liberty International Airport,2003,8,31168
Newark Liberty International Airport,2003,9,27953
Newark Liberty International Airport,2003,10,30040
Newark Liberty International Airport,2003,11,29004
Newark Liberty International Airport,2003,12,30289
Newark Liberty International Airport,2004,1,19829
Newark Liberty International Airport,2004,2,18940
Newark Liberty International Airport,2004,3,27726
Newark Liberty International Airport,2004,4,32309
Newark Liberty International Airport,2004,5,31186
Newark Liberty International Airport,2004,6,35913
Newark Liberty International Airport,2004,7,38154
Newark Liberty International Airport,2004,8,39068
Newark Liberty International Airport,2004,9,35498
Newark Liberty International Airport,2004,10,35811
Newark Liberty International Airport,2004,11,35052
Newark Liberty International Airport,2004,12,38342
Newark Liberty International Airport,2005,1,25363
Newark Liberty International Airport,2005,2,25353
Newark Liberty International Airport,2005,3,31706
Newark Liberty International Airport,2005,4,32912
Newark Liberty International Airport,2005,5,28024
Newark Liberty International Airport,2005,6,29565
Newark Liberty International Airport,2005,7,33185
Newark Liberty International Airport,2005,8,35330
Newark Liberty International Airport,2005,9,33977
Newark Liberty International Airport,2005,10,32833
Newark Liberty International Airport,2005,11,30976
Newark Liberty International Airport,2005,12,35098
Newark Liberty International Airport,2006,1,24545
Newark Liberty International Airport,2006,2,13974
Newark Liberty International Airport,2006,3,16458
Newark Liberty International Airport,2006,4,18661
Newark Liberty International Airport,2006,5,18984
Newark Liberty International Airport,2006,6,17423
Newark Liberty International Airport,2006,7,17998
Newark Liberty International Airport,2006,8,18535
Newark Liberty International Airport,2006,9,19246
Newark Liberty International Airport,2006,10,20571
Newark Liberty International Airport,2006,11,20479
Newark Liberty International Airport,2006,12,22633
Newark Liberty International Airport,2007,1,16024
Newark Liberty International Airport,2007,2,14796
Newark Liberty International Airport,2007,3,19556
Newark Liberty International Airport,2007,4,21183
Newark Liberty International Airport,2007,5,22112
Newark Liberty International Airport,2007,6,19628
Newark Liberty International Airport,2007,7,17591
Newark Liberty International Airport,2007,8,18313
Newark Liberty International Airport,2007,9,16200
Newark Liberty International Airport,2007,10,19258
Newark Liberty International Airport,2007,11,19632
Newark Liberty International Airport,2007,12,21679
Newark Liberty International Airport,2008,1,17242
Newark Liberty International Airport,2008,2,16054
Newark Liberty International Airport,2008,3,21078
Newark Liberty International Airport,2008,4,20594
Newark Liberty International Airport,2008,5,24879
Newark Liberty International Airport,2008,6,22492
Newark Liberty International Airport,2008,7,25028
Newark Liberty International Airport,2008,8,29267
Newark Liberty International Airport,2008,9,24256
Newark Liberty International Airport,2008,10,24874
Newark Liberty International Airport,2008,11,21117
Newark Liberty International Airport,2008,12,24646
Newark Liberty International Airport,2009,1,16843
Newark Liberty International Airport,2009,2,15726
Newark Liberty International Airport,2009,3,20288
Newark Liberty International Airport,2009,4,24597
Newark Liberty International Airport,2009,5,25678
Newark Liberty International Airport,2009,6,23039
Newark Liberty International Airport,2009,7,25126
Newark Liberty International Airport,2009,8,27622
Newark Liberty International Airport,2009,9,26468
Newark Liberty International Airport,2009,10,24780
Newark Liberty International Airport,2009,11,20975
Newark Liberty International Airport,2009,12,24771
Newark Liberty International Airport,2010,1,18054
Newark Liberty International Airport,2010,2,16556
Newark Liberty International Airport,2010,3,23095
Newark Liberty International Airport,2010,4,25004
Newark Liberty International Airport,2010,5,27693
Newark Liberty International Airport,2010,6,23753
Newark Liberty International Airport,2010,7,23230
Newark Liberty International Airport,2010,8,26048
Newark Liberty International Airport,2010,9,24946
Newark Liberty International Airport,2010,10,24561
Newark Liberty International Airport,2010,11,22131
Newark Liberty International Airport,2010,12,22875
Newark Liberty International Airport,2011,1,16604
Newark Liberty International Airport,2011,2,14436
Newark Liberty International Airport,2011,3,20365
Newark Liberty International Airport,2011,4,23847
Newark Liberty International Airport,2011,5,26158
Newark Liberty International Airport,2011,6,24415
Newark Liberty International Airport,2011,7,23390
Newark Liberty International Airport,2011,8,26046
Newark Liberty International Airport,2011,9,25333
Newark Liberty International Airport,2011,10,26790
Newark Liberty International Airport,2011,11,23128
Newark Liberty International Airport,2011,12,25341
Newark Liberty International Airport,2012,1,18024
Newark Liberty International Airport,2012,2,16283
Newark Liberty International Airport,2012,3,21607
Newark Liberty International Airport,2012,4,23474
Newark Liberty International Airport,2012,5,24434
Newark Liberty International Airport,2012,6,21680
Newark Liberty International Airport,2012,7,21238
Newark Liberty International Airport,2012,8,25227
Newark Liberty International Airport,2012,9,22539
Newark Liberty International Airport,2012,10,21758
Newark Liberty International Airport,2012,11,23426
Newark Liberty International Airport,2012,12,22226
Newark Liberty International Airport,2013,1,16933
Newark Liberty International Airport,2013,2,14320
Newark Liberty International Airport,2013,3,20823
Newark Liberty International Airport,2013,4,22366
Newark Liberty International Airport,2013,5,26863
Newark Liberty International Airport,2013,6,22995
Newark Liberty International Airport,2013,7,22598
Newark Liberty International Airport,2013,8,26465
Newark Liberty International Airport,2013,9,23897
Newark Liberty International Airport,2013,10,23441
Newark Liberty International Airport,2013,11,18665
Newark Liberty International Airport,2013,12,22979
Newark Liberty International Airport,2014,1,16675
Newark Liberty International Airport,2014,2,14017
Newark Liberty International Airport,2014,3,19703
Newark Liberty International Airport,2014,4,21652
Newark Liberty International Airport,2014,5,37436
Newark Liberty International Airport,2014,6,33642
Newark Liberty International Airport,2014,7,26198
Newark Liberty International Airport,2014,8,26567
Newark Liberty International Airport,2014,9,22064
Newark Liberty International Airport,2014,10,21298
Newark Liberty International Airport,2014,11,17795
Newark Liberty International Airport,2014,12,20707
Newark Liberty International Airport,2015,1,14828
Newark Liberty International Airport,2015,2,13989
Newark Liberty International Airport,2015,3,18819
Newark Liberty International Airport,2015,4,19621
Newark Liberty International Airport,2015,5,21937
Newark Liberty International Airport,2015,6,19010
Newark Liberty International Airport,2015,7,19485
Newark Liberty International Airport,2015,8,21113
Newark Liberty International Airport,2015,9,18903
Newark Liberty International Airport,2015,10,20618
Newark Liberty International Airport,2015,11,17695
newark Liberty International Airport,2015,12,20817
LaGuardia Airport,2002,1,21298
LaGuardia Airport,2002,2,17795
LaGuardia Airport,2002,3,31944
LaGuardia Airport,2002,4,24859
LaGuardia Airport,2002,5,36118
LaGuardia Airport,2002,6,33906
LaGuardia Airport,2002,7,36462
LaGuardia Airport,2002,8,37120
LaGuardia Airport,2002,9,30416
LaGuardia Airport,2002,10,33207
LaGuardia Airport,2002,11,31496
LaGuardia Airport,2002,12,37055
LaGuardia Airport,2003,1,26202
LaGuardia Airport,2003,2,24041
LaGuardia Airport,2003,3,29439
LaGuardia Airport,2003,4,27306
LaGuardia Airport,2003,5,35063
LaGuardia Airport,2003,6,35035
LaGuardia Airport,2003,7,37306
LaGuardia Airport,2003,8,37108
LaGuardia Airport,2003,9,31574
LaGuardia Airport,2003,10,35355
LaGuardia Airport,2003,11,32915
LaGuardia Airport,2003,12,35604
LaGuardia Airport,2004,1,25015
LaGuardia Airport,2004,2,22422
LaGuardia Airport,2004,3,30249
LaGuardia Airport,2004,4,30068
LaGuardia Airport,2004,5,37127
LaGuardia Airport,2004,6,40213
LaGuardia Airport,2004,7,43257
LaGuardia Airport,2004,8,40227
LaGuardia Airport,2004,9,37615
LaGuardia Airport,2004,10,40268
LaGuardia Airport,2004,11,37567
LaGuardia Airport,2004,12,37718
LaGuardia Airport,2005,1,33390
LaGuardia Airport,2005,2,27919
LaGuardia Airport,2005,3,37527
LaGuardia Airport,2005,4,34901
LaGuardia Airport,2005,5,41216
LaGuardia Airport,2005,6,40140
LaGuardia Airport,2005,7,38650
LaGuardia Airport,2005,8,37726
LaGuardia Airport,2005,9,33759
LaGuardia Airport,2005,10,29949
LaGuardia Airport,2005,11,32694
LaGuardia Airport,2005,12,36326
LaGuardia Airport,2006,1,27944
LaGuardia Airport,2006,2,23258
LaGuardia Airport,2006,3,31876
LaGuardia Airport,2006,4,29213
LaGuardia Airport,2006,5,38125
LaGuardia Airport,2006,6,36968
LaGuardia Airport,2006,7,35016
LaGuardia Airport,2006,8,35377
LaGuardia Airport,2006,9,31594
LaGuardia Airport,2006,10,31271
LaGuardia Airport,2006,11,32753
LaGuardia Airport,2006,12,33799
LaGuardia Airport,2007,1,27664
LaGuardia Airport,2007,2,23671
LaGuardia Airport,2007,3,30821
LaGuardia Airport,2007,4,30138
LaGuardia Airport,2007,5,36880
LaGuardia Airport,2007,6,35876
LaGuardia Airport,2007,7,33705
LaGuardia Airport,2007,8,36084
LaGuardia Airport,2007,9,32091
LaGuardia Airport,2007,10,31967
LaGuardia Airport,2007,11,31566
LaGuardia Airport,2007,12,29512
LaGuardia Airport,2008,1,23916
LaGuardia Airport,2008,2,20712
LaGuardia Airport,2008,3,26690
LaGuardia Airport,2008,4,22829
LaGuardia Airport,2008,5,33636
LaGuardia Airport,2008,6,31441
LaGuardia Airport,2008,7,29069
LaGuardia Airport,2008,8,38168
LaGuardia Airport,2008,9,27541
LaGuardia Airport,2008,10,26763
LaGuardia Airport,2008,11,25488
LaGuardia Airport,2008,12,25795
LaGuardia Airport,2009,1,21109
LaGuardia Airport,2009,2,18185
LaGuardia Airport,2009,3,24519
LaGuardia Airport,2009,4,24809
LaGuardia Airport,2009,5,24764
LaGuardia Airport,2009,6,26779
LaGuardia Airport,2009,7,33982
LaGuardia Airport,2009,8,35950
LaGuardia Airport,2009,9,33081
LaGuardia Airport,2009,10,28626
LaGuardia Airport,2009,11,29534
LaGuardia Airport,2009,12,31609
LaGuardia Airport,2010,1,23049
LaGuardia Airport,2010,2,19196
LaGuardia Airport,2010,3,27372
LaGuardia Airport,2010,4,33293
LaGuardia Airport,2010,5,37659
LaGuardia Airport,2010,6,36182
LaGuardia Airport,2010,7,38012
LaGuardia Airport,2010,8,40288
LaGuardia Airport,2010,9,37959
LaGuardia Airport,2010,10,36072
LaGuardia Airport,2010,11,34649
LaGuardia Airport,2010,12,37031
LaGuardia Airport,2011,1,9770
LaGuardia Airport,2011,2,13723
LaGuardia Airport,2011,3,17816
LaGuardia Airport,2011,4,16833
LaGuardia Airport,2011,5,32122
LaGuardia Airport,2011,6,20201
LaGuardia Airport,2011,7,18213
LaGuardia Airport,2011,8,19354
LaGuardia Airport,2011,9,21626
LaGuardia Airport,2011,10,21210
LaGuardia Airport,2011,11,21153
LaGuardia Airport,2011,12,20822
LaGuardia Airport,2012,1,15275
LaGuardia Airport,2012,2,14786
LaGuardia Airport,2012,3,20057
LaGuardia Airport,2012,4,21687
LaGuardia Airport,2012,5,27379
LaGuardia Airport,2012,6,26365
LaGuardia Airport,2012,7,25292
LaGuardia Airport,2012,8,27506
LaGuardia Airport,2012,9,24717
LaGuardia Airport,2012,10,21843
LaGuardia Airport,2012,11,23204
LaGuardia Airport,2012,12,23271
LaGuardia Airport,2013,1,17724
LaGuardia Airport,2013,2,14936
LaGuardia Airport,2013,3,23306
LaGuardia Airport,2013,4,20607
LaGuardia Airport,2013,5,27481
LaGuardia Airport,2013,6,25615
LaGuardia Airport,2013,7,25225
LaGuardia Airport,2013,8,27584
LaGuardia Airport,2013,9,23705
LaGuardia Airport,2013,10,24199
LaGuardia Airport,2013,11,17488
LaGuardia Airport,2013,12,19597
LaGuardia Airport,2014,1,25557
LaGuardia Airport,2014,2,14134
LaGuardia Airport,2014,3,22309
LaGuardia Airport,2014,4,21963
LaGuardia Airport,2014,5,15464
LaGuardia Airport,2014,6,24645
LaGuardia Airport,2014,7,26287
LaGuardia Airport,2014,8,27910
LaGuardia Airport,2014,9,23770
LaGuardia Airport,2014,10,21900
LaGuardia Airport,2014,11,16817
LaGuardia Airport,2014,12,24004
LaGuardia Airport,2015,1,18113
LaGuardia Airport,2015,2,15736
LaGuardia Airport,2015,3,22360
LaGuardia Airport,2015,4,21852
LaGuardia Airport,2015,5,27890
LaGuardia Airport,2015,6,27636
LaGuardia Airport,2015,7,27516
LaGuardia Airport,2015,8,29153
LaGuardia Airport,2015,9,25194
LaGuardia Airport,2015,10,24726
LaGuardia Airport,2015,11,20631
LaGuardia Airport,2015,12,24162
